DATE, SYMBOL, TIME, PWR INFLOW, PRICE, MOMENTUM, DAILY, LARGE DEAL, MOMENTUM  ACC., DAILY ACC.
20260120,WWD,10:03,1.00,325.80,117.42,58.63,7452.48,117.42,58.63
20260120,CVX,10:07,1.00,166.17,78.99,-3.84,2963.20,78.99,-3.84
20260120,VOO,10:10,1.00,626.41,-726.62,-557.83,47834.04,-726.62,-557.83
20260120,BKNG,10:11,1.00,4979.30,-30.44,-32.55,2862.88,-30.44,-32.55
20260120,QQQM,10:11,1.00,251.68,-58.90,-71.78,-24286.49,-58.90,-71.78
20260120,NVDA,10:11,1.00,180.08,-1602.08,-1845.98,-412854.30,-1602.08,-1845.98
20260120,BABA,10:13,1.00,164.03,-23.25,-28.20,-14743.59,-23.25,-28.20
20260120,SPY,10:13,1.00,681.45,800.42,314.31,93363.66,800.42,314.31
20260120,COF,10:15,1.00,234.85,40.91,19.99,5342.48,40.91,19.99
20260120,META,10:16,1.00,608.69,-465.26,-477.86,-39192.39,-465.26,-477.86
20260120,APP,10:18,1.00,559.73,163.98,4.46,31793.04,163.98,4.46
20260120,VTI,10:18,1.00,336.85,-45.65,-82.73,766.13,-45.65,-82.73
20260120,UNP,10:31,1.00,221.72,17.24,-18.38,-2350.22,17.24,-18.38
20260120,MU,10:33,1.00,365.95,-1675.08,-970.36,78064.96,-1675.08,-970.36
20260120,GS,10:35,1.00,960.42,162.53,69.55,19315.85,162.53,69.55
20260120,GEV,10:37,1.00,695.92,215.61,135.54,23145.24,215.61,135.54
20260120,ASML,10:40,1.00,1320.66,-254.20,-308.59,56019.24,-254.20,-308.59
20260120,GLD,10:41,1.00,434.89,-163.14,-158.35,250295.48,-163.14,-158.35
20260120,SOXL,10:48,1.00,60.41,113.09,47.48,17470.58,113.09,47.48
20260120,SNDK,11:04,1.00,443.90,-237.02,-230.71,80190.98,-237.02,-230.71
20260120,IWM,11:08,1.00,264.07,-350.41,-55.33,-55977.67,-350.41,-55.33
